doi,title,venue
10.1007/978-3-031-16434-7_6,Distilling Knowledge from Topological Representations for Pathological Complete Response Prediction,MICCAI
10.1007/978-3-031-16431-6_29,Dual-HINet: Dual Hierarchical Integration Network of Multigraphs for Connectional Brain Template Learning,MICCAI
10.1007/978-3-031-16443-9_1,Automatic Segmentation of Hip Osteophytes in DXA Scans Using U-Nets,MICCAI
10.1007/978-3-031-16437-8_55,Graph Convolutional Network with Probabilistic Spatial Regression: Application to Craniofacial Landmark Detection from 3D Photogrammetry,MICCAI
10.1007/978-3-031-16434-7_60,TINC: Temporally Informed Non-contrastive Learning for Disease Progression Modeling in Retinal OCT Volumes,MICCAI
10.1007/978-3-031-16452-1_13,GaitForeMer: Self-supervised Pre-training of Transformers via Human Motion Forecasting for Few-Shot Gait Impairment Severity Estimation,MICCAI
10.1007/978-3-031-16452-1_50,DEUE: Delta Ensemble Uncertainty Estimation for a More Robust Estimation of Ejection Fraction,MICCAI
10.1007/978-3-031-16446-0_29,Learning Iterative Optimisation for Deformable Image Registration of Lung CT with Recurrent Convolutional Networks,MICCAI
10.1007/978-3-031-16434-7_40,Fast FF-to-FFPE Whole Slide Image Translation via Laplacian Pyramid and Contrastive Learning,MICCAI
10.1007/978-3-031-16443-9_22,Curvature-Enhanced Implicit Function Network for High-quality Tooth Model Generation from CBCT Images,MICCAI
10.1007/978-3-031-16449-1_54,Deep Learning-Based Facial Appearance Simulation Driven by Surgically Planned Craniomaxillofacial Bony Movement,MICCAI
10.1007/978-3-031-16449-1_19,Weighted Concordance Index Loss-Based Multimodal Survival Modeling for Radiation Encephalopathy Assessment in Nasopharyngeal Carcinoma Radiotherapy,MICCAI
10.1007/978-3-031-16431-6_46,Siamese Encoder-based Spatial-Temporal Mixer for Growth Trend Prediction of Lung Nodules on CT Scans,MICCAI
10.1007/978-3-031-16434-7_56,Y-Net: A Spatiospectral Dual-Encoder Network for Medical Image Segmentation,MICCAI
10.1007/978-3-031-16449-1_52,Video-Based Surgical Skills Assessment Using Long Term Tool Tracking,MICCAI
10.1007/978-3-031-16452-1_31,SD-LayerNet: Semi-supervised Retinal Layer Segmentation in OCT Using Disentangled Representation with Anatomical Priors,MICCAI
10.1007/978-3-031-16446-0_50,Classification-Aided High-Quality PET Image Synthesis via Bidirectional Contrastive GAN with Shared Information Maximization,MICCAI
10.1007/978-3-031-16437-8_27,End-to-End Evidential-Efficient Net for Radiomics Analysis of Brain MRI to Predict Oncogene Expression and Overall Survival,MICCAI
10.1007/978-3-031-16434-7_48,Unsupervised Domain Adaptive Fundus Image Segmentation with Category-Level Regularization,MICCAI
10.1007/978-3-031-16452-1_61,Calibration of Medical Imaging Classification Systems with Weight Scaling,MICCAI
10.1007/978-3-031-16449-1_27,Identifying Phenotypic Concepts Discriminating Molecular Breast Cancer Sub-Types,MICCAI
10.1007/978-3-031-16434-7_26,Test Time Transform Prediction for Open Set Histopathological Image Recognition,MICCAI
10.1007/978-3-031-16449-1_63,Unsupervised Cross-disease Domain Adaptation by Lesion Scale Matching,MICCAI
10.1007/978-3-031-16431-6_49,Decoupling Predictions in Distributed Learning for Multi-center Left Atrial MRI Segmentation,MICCAI
10.1007/978-3-031-16446-0_69,A Projection-Based K-space Transformer Network for Undersampled Radial MRI Reconstruction with Limited Training Subjects,MICCAI
10.1007/978-3-031-16431-6_52,SAPJNet: Sequence-Adaptive Prototype-Joint Network for Small Sample Multi-sequence MRI Diagnosis,MICCAI
10.1007/978-3-031-16443-9_35,Joint Modeling of Image and Label Statistics for Enhancing Model Generalizability of Medical Image Segmentation,MICCAI
10.1007/978-3-031-16446-0_71,DDPNet: A Novel Dual-Domain Parallel Network for Low-Dose CT Reconstruction,MICCAI
10.1007/978-3-031-16443-9_27,DeepPyramid: Enabling Pyramid View and Deformable Pyramid Reception for Semantic Segmentation in Cataract Surgery Videos,MICCAI
10.1007/978-3-031-16437-8_4,PD-DWI: Predicting Response to Neoadjuvant Chemotherapy in Invasive Breast Cancer with Physiologically-Decomposed Diffusion-Weighted MRI Machine-Learning Model,MICCAI
10.1007/978-3-031-16437-8_42,Show Attend and Detect: Towards Fine-Grained Assessment of Abdominal Aortic Calcification on Vertebral Fracture Assessment Scans,MICCAI
10.1007/978-3-031-16440-8_40,Towards Confident Detection of Prostate Cancer Using High Resolution Micro-ultrasound,MICCAI
10.1007/978-3-031-16434-7_53,Multidimensional Hypergraph on Delineated Retinal Features for Pathological Myopia Task,MICCAI
10.1007/978-3-031-16452-1_34,Unsupervised Domain Adaptation with Contrastive Learning for OCT Segmentation,MICCAI
10.1007/978-3-031-16431-6_40,Characterization of Brain Activity Patterns Across States of Consciousness Based on Variational Auto-Encoders,MICCAI
10.1007/978-3-031-16440-8_24,Less is More: Adaptive Curriculum Learning for Thyroid Nodule Diagnosis,MICCAI
10.1007/978-3-031-16431-6_25,Interpretable Signature of Consciousness in Resting-State Functional Network Brain Activity,MICCAI
10.1007/978-3-031-16446-0_61,BMD-GAN: Bone Mineral Density Estimation Using X-Ray Image Decomposition into Projections of Bone-Segmented Quantitative Computed Tomography Using Hierarchical Learning,MICCAI
10.1007/978-3-031-16446-0_41,Deep-Learning Based T1 and T2 Quantification from Undersampled Magnetic Resonance Fingerprinting Data to Track Tracer Kinetics in Small Laboratory Animals,MICCAI
10.1007/978-3-031-16446-0_70,Scale-Equivariant Unrolled Neural Networks for Data-Efficient Accelerated MRI Reconstruction,MICCAI
10.1007/978-3-031-16443-9_6,Thoracic Lymph Node Segmentation in CT Imaging via Lymph Node Station Stratification and Size Encoding,MICCAI
10.1007/978-3-031-16431-6_45,AANet: Artery-Aware Network for Pulmonary Embolism Detection in CTPA Images,MICCAI
10.1007/978-3-031-16440-8_56,Joint Class-Affinity Loss Correction for Robust Medical Image Segmentation with Noisy Labels,MICCAI
10.1007/978-3-031-16440-8_16,MCP-Net: Inter-frame Motion Correction with Patlak Regularization for Whole-body Dynamic PET,MICCAI
10.1007/978-3-031-16440-8_14,DeepMIF: Deep Learning Based Cell Profiling for Multispectral Immunofluorescence Images with Graphical User Interface,MICCAI
10.1007/978-3-031-16431-6_71,Reliability-Aware Contrastive Self-ensembling for Semi-supervised Medical Image Classification,MICCAI
10.1007/978-3-031-16434-7_30,Self-supervised Pre-training for Nuclei Segmentation,MICCAI
10.1007/978-3-031-16434-7_72,Automated Classification of General Movements in Infants Using Two-Stream Spatiotemporal Fusion Network,MICCAI
10.1007/978-3-031-16431-6_28,Multi-head Attention-Based Masked Sequence Model for Mapping Functional Brain Networks,MICCAI
10.1007/978-3-031-16434-7_70,Super-Focus: Domain Adaptation for Embryo Imaging via Self-supervised Focal Plane Regression,MICCAI
10.1007/978-3-031-16443-9_54,Efficient Population Based Hyperparameter Scheduling for Medical Image Segmentation,MICCAI
10.1007/978-3-031-16431-6_53,Evolutionary Multi-objective Architecture Search Framework: Application to COVID-19 3D CT Classification,MICCAI
10.1007/978-3-031-16443-9_31,Automatic Identification of Segmentation Errors for Radiotherapy Using Geometric Learning,MICCAI
10.1007/978-3-031-16449-1_1,Real-Time 3D Reconstruction of Human Vocal Folds via High-Speed Laser-Endoscopy,MICCAI
10.1007/978-3-031-16443-9_34,Identifying and Combating Bias in Segmentation Networks by Leveraging Multiple Resolutions,MICCAI
10.1007/978-3-031-16449-1_21,Censor-Aware Semi-supervised Learning for Survival Time Prediction from Medical Images,MICCAI
10.1007/978-3-031-16437-8_48,INSightR-Net: Interpretable Neural Network for Regression Using Similarity-Based Comparisons to Prototypical Examples,MICCAI
10.1007/978-3-031-16440-8_3,Tracking by Weakly-Supervised Learning and Graph Optimization for Whole-Embryo C. elegans lineages,MICCAI
10.1007/978-3-031-16431-6_65,Self-Rating Curriculum Learning for Localization and Segmentation of Tuberculosis on Chest Radiograph,MICCAI
10.1007/978-3-031-16434-7_18,Spatial-Hierarchical Graph Neural Network with Dynamic Structure Learning for Histological Image Classification,MICCAI
10.1007/978-3-031-16449-1_70,Enhancing Model Generalization for Substantia Nigra Segmentation Using a Test-time Normalization-Based Method,MICCAI
10.1007/978-3-031-16440-8_18,TransEM: Residual Swin-Transformer Based Regularized PET Image Reconstruction,MICCAI
10.1007/978-3-031-16449-1_62,Domain Specific Convolution and High Frequency Reconstruction Based Unsupervised Domain Adaptation for Medical Image Segmentation,MICCAI
10.1007/978-3-031-16446-0_47,Domain-Adaptive 3D Medical Image Synthesis: An Efficient Unsupervised Approach,MICCAI
10.1007/978-3-031-16434-7_13,Predicting Molecular Traits from Tissue Morphology Through Self-interactive Multi-instance Learning,MICCAI
10.1007/978-3-031-16446-0_38,AutoGAN-Synthesizer: Neural Architecture Search for Cross-Modality MRI Synthesis,MICCAI
10.1007/978-3-031-16437-8_64,Personalized Diagnostic Tool for Thyroid Cancer Classification Using Multi-view Ultrasound,MICCAI
10.1007/978-3-031-16443-9_39,Evidence Fusion with Contextual Discounting for Multi-modality Medical Image Segmentation,MICCAI
10.1007/978-3-031-16452-1_38,Graph Emotion Decoding from Visually Evoked Neural Responses,MICCAI
10.1007/978-3-031-16446-0_54,DS3-Net: Difficulty-Perceived Common-to-T1ce Semi-supervised Multimodal MRI Synthesis Network,MICCAI
10.1007/978-3-031-16440-8_9,Domain Adaptive Mitochondria Segmentation via Enforcing Inter-Section Consistency,MICCAI
10.1007/978-3-031-16443-9_20,Attentive Symmetric Autoencoder for Brain MRI Segmentation,MICCAI
10.1007/978-3-031-16449-1_26,Transformer Based Multi-task Deep Learning with Intravoxel Incoherent Motion Model Fitting for Microvascular Invasion Prediction of Hepatocellular Carcinoma,MICCAI
10.1007/978-3-031-16446-0_51,Swin Deformable Attention U-Net Transformer (SDAUT) for Explainable Fast MRI,MICCAI
10.1007/978-3-031-16452-1_62,Online Reflective Learning for Robust Medical Image Segmentation,MICCAI
10.1007/978-3-031-16434-7_42,Physiological Model Based Deep Learning Framework for Cardiac TMP Recovery,MICCAI
10.1007/978-3-031-16440-8_69,Harnessing Deep Bladder Tumor Segmentation with Logical Clinical Knowledge,MICCAI
10.1007/978-3-031-16449-1_2,Self-supervised Depth Estimation in Laparoscopic Image Using 3D Geometric Consistency,MICCAI
10.1007/978-3-031-16431-6_62,A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000,MICCAI
10.1007/978-3-031-16431-6_60,Multimodal Contrastive Learning for Prospective Personalized Estimation of CT Organ Dose,MICCAI
10.1007/978-3-031-16437-8_46,Deep Treatment Response Assessment and Prediction of Colorectal Cancer Liver Metastases,MICCAI
10.1007/978-3-031-16449-1_43,Multi-modal Unsupervised Pre-training for Surgical Operating Room Workflow Analysis,MICCAI
10.1007/978-3-031-16437-8_12,Stay Focused - Enhancing Model Interpretability Through Guided Feature Training,MICCAI
10.1007/978-3-031-16437-8_24,Point Beyond Class: A Benchmark for Weakly Semi-supervised Abnormality Localization in Chest X-Rays,MICCAI
10.1007/978-3-031-16443-9_24,Learning Tumor-Induced Deformations to Improve Tumor-Bearing Brain MR Segmentation,MICCAI
10.1007/978-3-031-16446-0_22,Weakly-Supervised Biomechanically-Constrained CT/MRI Registration of the Spine,MICCAI
10.1007/978-3-031-16452-1_5,Few-Shot Generation of Personalized Neural Surrogates for Cardiac Simulation via Bayesian Meta-learning,MICCAI
10.1007/978-3-031-16437-8_22,CephalFormer: Incorporating Global Structure Constraint into Visual Features for General Cephalometric Landmark Detection,MICCAI
10.1007/978-3-031-16440-8_53,Self-supervised 3D Anatomy Segmentation Using Self-distilled Masked Image Transformer (SMIT),MICCAI
10.1007/978-3-031-16437-8_19,Dynamic Bank Learning for Semi-supervised Federated Image Diagnosis with Class Imbalance,MICCAI
10.1007/978-3-031-16437-8_17,MAL: Multi-modal Attention Learning for Tumor Diagnosis Based on Bipartite Graph and Multiple Branches,MICCAI
10.1007/978-3-031-16434-7_33,Visual Deep Learning-Based Explanation for Neuritic Plaques Segmentation in Alzheimer&apos;s Disease Using Weakly Annotated Whole Slide Histopathological Images,MICCAI
10.1007/978-3-031-16434-7_1,Semi-supervised Histological Image Segmentation via Hierarchical Consistency Enforcement,MICCAI
10.1007/978-3-031-16437-8_44,Flexible Sampling for Long-Tailed Skin Lesion Classification,MICCAI
10.1007/978-3-031-16452-1_47,CRISP - Reliable Uncertainty Estimation for Medical Image Segmentation,MICCAI
10.1007/978-3-031-16446-0_60,Patch-Wise Deep Metric Learning for Unsupervised Low-Dose CT Denoising,MICCAI
10.1007/978-3-031-16446-0_37,Only-Train-Once MR Fingerprinting for Magnetization Transfer Contrast Quantification,MICCAI
10.1007/978-3-031-16437-8_32,Prototype Learning of Inter-network Connectivity for ASD Diagnosis and Personalized Analysis,MICCAI
10.1007/978-3-031-16431-6_12,Atlas-Powered Deep Learning (ADL) - Application to Diffusion Weighted MRI,MICCAI
10.1007/978-3-031-16431-6_55,CheXRelNet: An Anatomy-Aware Model for Tracking Longitudinal Relationships Between Chest X-Rays,MICCAI
10.1007/978-3-031-16449-1_18,Multi-task Video Enhancement for Dental Interventions,MICCAI
10.1007/978-3-031-16443-9_67,Explaining Chest X-Ray Pathologies in Natural Language,MICCAI
10.1007/978-3-031-16452-1_33,Anomaly-Aware Multiple Instance Learning for Rare Anemia Disorder Classification,MICCAI
10.1007/978-3-031-16443-9_42,Implicit Neural Representations for Medical Imaging Segmentation,MICCAI
10.1007/978-3-031-16431-6_43,Cerebral Microbleeds Detection Using a 3D Feature Fused Region Proposal Network with Hard Sample Prototype Learning,MICCAI
10.1007/978-3-031-16437-8_25,Did You Get What You Paid For? Rethinking Annotation Cost of Deep Learning Based Computer Aided Detection in Chest Radiographs,MICCAI
10.1007/978-3-031-16437-8_65,Morphology-Aware Interactive Keypoint Estimation,MICCAI
10.1007/978-3-031-16431-6_51,Diffusion Deformable Model for 4D Temporal Medical Image Generation,MICCAI
10.1007/978-3-031-16434-7_67,Noise Transfer for Unsupervised Domain Adaptation of Retinal OCT Images,MICCAI
10.1007/978-3-031-16452-1_58,TranSQ: Transformer-Based Semantic Query for Medical Report Generation,MICCAI
10.1007/978-3-031-16452-1_65,The Intrinsic Manifolds of Radiological Images and Their Role in Deep Learning,MICCAI
10.1007/978-3-031-16449-1_59,Deep Geometric Supervision Improves Spatial Generalization in Orthopedic Surgery Planning,MICCAI
10.1007/978-3-031-16434-7_71,SUPER-IVIM-DC: Intra-voxel Incoherent Motion Based Fetal Lung Maturity Assessment from Limited DWI Data Using Supervised Learning Coupled with Data-Consistency,MICCAI
10.1007/978-3-031-16452-1_18,Combining Mixed-Format Labels for AI-Based Pathology Detection Pipeline in a Large-Scale Knee MRI Study,MICCAI
10.1007/978-3-031-16431-6_47,What Makes for Automatic Reconstruction of Pulmonary Segments,MICCAI
10.1007/978-3-031-16437-8_38,mulEEG: A Multi-view Representation Learning on EEG Signals,MICCAI
10.1007/978-3-031-16431-6_18,Segmentation of Whole-Brain Tractography: A Deep Learning Algorithm Based on 3D Raw Curve Points,MICCAI
10.1007/978-3-031-16452-1_49,Layer Ensembles: A Single-Pass Uncertainty Estimation in Deep Learning for Segmentation,MICCAI
10.1007/978-3-031-16446-0_35,Autofocusing+: Noise-Resilient Motion Correction in Magnetic Resonance Imaging,MICCAI
10.1007/978-3-031-16434-7_43,DentalPointNet: Landmark Localization on High-Resolution 3D Digital Dental Models,MICCAI
10.1007/978-3-031-16437-8_75,Moving from 2D to 3D: Volumetric Medical Image Classification for Rectal Cancer Staging,MICCAI
10.1007/978-3-031-16443-9_32,A Novel Knowledge Keeper Network for 7T-Free but 7T-Guided Brain Tissue Segmentation,MICCAI
10.1007/978-3-031-16449-1_3,USG-Net: Deep Learning-based Ultrasound Scanning-Guide for an Orthopedic Sonographer,MICCAI
10.1007/978-3-031-16431-6_27,fMRI Neurofeedback Learning Patterns are Predictive of Personal and Clinical Traits,MICCAI
10.1007/978-3-031-16446-0_15,End-to-End Multi-Slice-to-Volume Concurrent Registration and Multimodal Generation,MICCAI
10.1007/978-3-031-16446-0_67,FSE Compensated Motion Correction for MRI Using Data Driven Methods,MICCAI
10.1007/978-3-031-16437-8_16,SATr: Slice Attention with Transformer for Universal Lesion Detection,MICCAI
10.1007/978-3-031-16437-8_21,Flat-Aware Cross-Stage Distilled Framework for Imbalanced Medical Image Classification,MICCAI
10.1007/978-3-031-16449-1_39,Surgical Skill Assessment via Video Semantic Aggregation,MICCAI
10.1007/978-3-031-16440-8_45,Geometric Constraints for Self-supervised Monocular Depth Estimation on Laparoscopic Images with Dual-task Consistency,MICCAI
10.1007/978-3-031-16452-1_21,An Accurate Unsupervised Liver Lesion Detection Method Using Pseudo-lesions,MICCAI
10.1007/978-3-031-16449-1_66,Estimating Model Performance Under Domain Shifts with Class-Specific Confidence Scores,MICCAI
10.1007/978-3-031-16434-7_47,Structure-Consistent Restoration Network for Cataract Fundus Image Enhancement,MICCAI
10.1007/978-3-031-16452-1_56,A Self-guided Framework for Radiology Report Generation,MICCAI
10.1007/978-3-031-16449-1_73,Multi-institutional Investigation of Model Generalizability for Virtual Contrast-Enhanced MRI Synthesis,MICCAI
10.1007/978-3-031-16437-8_29,ULTRA: Uncertainty-Aware Label Distribution Learning for Breast Tumor Cellularity Assessment,MICCAI
10.1007/978-3-031-16449-1_68,Domain Adaptive Nuclei Instance Segmentation and Classification via Category-Aware Feature Alignment and Pseudo-Labelling,MICCAI
10.1007/978-3-031-16446-0_44,WavTrans: Synergizing Wavelet and Cross-Attention Transformer for Multi-contrast MRI Super-Resolution,MICCAI
10.1007/978-3-031-16440-8_7,Trichomonas Vaginalis Segmentation in Microscope Images,MICCAI
10.1007/978-3-031-16431-6_22,Joint Graph Convolution for Analyzing Brain Structural and Functional Connectome,MICCAI
10.1007/978-3-031-16440-8_55,Online Easy Example Mining for Weakly-Supervised Gland Segmentation from Histology Images,MICCAI
10.1007/978-3-031-16440-8_59,Parameter-Free Latent Space Transformer for Zero-Shot Bidirectional Cross-modality Liver Segmentation,MICCAI
10.1007/978-3-031-16440-8_38,Rethinking Breast Lesion Segmentation in Ultrasound: A New Video Dataset and A Baseline Network,MICCAI
10.1007/978-3-031-16434-7_27,Lesion-Aware Contrastive Representation Learning for Histopathology Whole Slide Images Analysis,MICCAI
10.1007/978-3-031-16443-9_19,Position-Prior Clustering-Based Self-attention Module for Knee Cartilage Segmentation,MICCAI
10.1007/978-3-031-16440-8_30,Weakly-Supervised High-Fidelity Ultrasound Video Synthesis with Feature Decoupling,MICCAI
10.1007/978-3-031-16452-1_15,MUSCLE: Multi-task Self-supervised Continual Learning to Pre-train Deep Models for X-Ray Images of Multiple Body Parts,MICCAI
10.1007/978-3-031-16446-0_53,Graph-Based Compression of Incomplete 3D Photoacoustic Data,MICCAI
10.1007/978-3-031-16449-1_38,Instrument-tissue Interaction Quintuple Detection in Surgery Videos,MICCAI
10.1007/978-3-031-16443-9_28,A Geometry-Constrained Deformable Attention Network for Aortic Segmentation,MICCAI
10.1007/978-3-031-16437-8_59,A New Dataset and a Baseline Model for Breast Lesion Detection in Ultrasound Videos,MICCAI
10.1007/978-3-031-16434-7_57,Camera Adaptation for Fundus-Image-Based CVD Risk Estimation,MICCAI
10.1007/978-3-031-16434-7_14,InsMix: Towards Realistic Generative Data Augmentation for Nuclei Instance Segmentation,MICCAI
10.1007/978-3-031-16443-9_29,ConTrans: Improving Transformer with Convolutional Attention for Medical Image Segmentation,MICCAI
10.1007/978-3-031-16452-1_11,Calibrating Label Distribution for Class-Imbalanced Barely-Supervised Knee Segmentation,MICCAI
10.1007/978-3-031-16449-1_48,SGT: Scene Graph-Guided Transformer for Surgical Report Generation,MICCAI
10.1007/978-3-031-16437-8_45,A Novel Deep Learning System for Breast Lesion Risk Stratification in Ultrasound Images,MICCAI
10.1007/978-3-031-16443-9_8,A Sense of Direction in Biomedical Neural Networks,MICCAI
10.1007/978-3-031-16437-8_52,NVUM: Non-volatile Unbiased Memory for Robust Medical Image Classification,MICCAI
10.1007/978-3-031-16452-1_14,Semi-supervised Medical Image Segmentation Using Cross-Model Pseudo-Supervision with Shape Awareness and Local Context Constraints,MICCAI
10.1007/978-3-031-16443-9_43,ModDrop++: A Dynamic Filter Network with Intra-subject Co-training for Multiple Sclerosis Lesion Segmentation with Missing Modalities,MICCAI
10.1007/978-3-031-16443-9_47,TransFusion: Multi-view Divergent Fusion for Medical Image Segmentation with Transformers,MICCAI
10.1007/978-3-031-16440-8_2,Efficient Biomedical Instance Segmentation via Knowledge Distillation,MICCAI
10.1007/978-3-031-16434-7_49,Degradation-Invariant Enhancement of Fundus Images via Pyramid Constraint Network,MICCAI
10.1007/978-3-031-16434-7_11,Sample Hardness Based Gradient Loss for Long-Tailed Cervical Cell Detection,MICCAI
10.1007/978-3-031-16443-9_10,Edge-Oriented Point-Cloud Transformer for 3D Intracranial Aneurysm Segmentation,MICCAI
10.1007/978-3-031-16452-1_30,Intervention &amp; Interaction Federated Abnormality Detection with Noisy Clients,MICCAI
10.1007/978-3-031-16437-8_34,Joint Prediction of Meningioma Grade and Brain Invasion via Task-Aware Contrastive Learning,MICCAI
10.1007/978-3-031-16431-6_13,One-Shot Segmentation of Novel White Matter Tracts via Extensive Data Augmentation,MICCAI
10.1007/978-3-031-16452-1_2,Stabilize Decompose and Denoise: Self-supervised Fluoroscopy Denoising,MICCAI
10.1007/978-3-031-16440-8_67,Transforming the Interactive Segmentation for Medical Imaging,MICCAI
10.1007/978-3-031-16443-9_12,Multimodal Brain Tumor Segmentation Using Contrastive Learning Based Feature Comparison with Monomodal Normal Brain Images,MICCAI
10.1007/978-3-031-16449-1_67,vMFNet: Compositionality Meets Domain-Generalised Segmentation,MICCAI
10.1007/978-3-031-16443-9_23,PHTrans: Parallelly Aggregating Global and Local Representations for Medical Image Segmentation,MICCAI
10.1007/978-3-031-16440-8_68,Learning Incrementally to Segment Multiple Organs in a CT Image,MICCAI
10.1007/978-3-031-16440-8_10,DeStripe: A Self2Self Spatio-Spectral Graph Neural Network with Unfolded Hessian for Stripe Artifact Removal in Light-Sheet Microscopy,MICCAI
10.1007/978-3-031-16446-0_31,Undersampled MRI Reconstruction with Side Information-Guided Normalisation,MICCAI
10.1007/978-3-031-16431-6_10,Extended Electrophysiological Source Imaging with Spatial Graph Filters,MICCAI
10.1007/978-3-031-16443-9_45,iSegFormer: Interactive Segmentation via Transformers with Application to 3D Knee MR Images,MICCAI
10.1007/978-3-031-16446-0_36,Tagged-MRI Sequence to Audio Synthesis via Self Residual Attention Guided Heterogeneous Translator,MICCAI
10.1007/978-3-031-16443-9_7,ACT: Semi-supervised Domain-Adaptive Medical Image Segmentation with Asymmetric Co-training,MICCAI
10.1007/978-3-031-16452-1_28,Learning with Context Encoding for Single-Stage Cranial Bone Labeling and Landmark Localization,MICCAI
10.1007/978-3-031-16440-8_62,Context-Aware Voxel-Wise Contrastive Learning for Label Efficient Multi-organ Segmentation,MICCAI
10.1007/978-3-031-16452-1_52,Improving Trustworthiness of AI Disease Severity Rating in Medical Imaging with Ordinal Conformal Prediction Sets,MICCAI
10.1007/978-3-031-16431-6_61,RTN: Reinforced Transformer Network for Coronary CT Angiography Vessel-level Image Quality Assessment,MICCAI
10.1007/978-3-031-16443-9_58,RT-DNAS: Real-Time Constrained Differentiable Neural Architecture Search for 3D Cardiac Cine MRI Segmentation,MICCAI
10.1007/978-3-031-16434-7_44,Landmark-Free Statistical Shape Modeling Via Neural Flow Deformations,MICCAI
10.1007/978-3-031-16431-6_50,Scribble-Supervised Medical Image Segmentation via Dual-Branch Network and Dynamically Mixed Pseudo Labels Supervision,MICCAI
10.1007/978-3-031-16446-0_4,On the Dataset Quality Control for Image Registration Evaluation,MICCAI
10.1007/978-3-031-16452-1_59,Pseudo Bias-Balanced Learning for Debiased Chest X-Ray Classification,MICCAI
10.1007/978-3-031-16434-7_69,Weakly Supervised Online Action Detection for Infant General Movements,MICCAI
10.1007/978-3-031-16440-8_28,Deep Motion Network for Freehand 3D Ultrasound Reconstruction,MICCAI
10.1007/978-3-031-16434-7_29,Joint Region-Attention and Multi-scale Transformer for Microsatellite Instability Detection from Whole Slide Images in Gastrointestinal Cancer,MICCAI
10.1007/978-3-031-16446-0_45,DuDoCAF: Dual-Domain Cross-Attention Fusion with Recurrent Transformer for Fast Multi-contrast MR Imaging,MICCAI
10.1007/978-3-031-16437-8_30,Test-Time Adaptation with Calibration of Medical Image Classification Nets for Label Distribution Shift,MICCAI
10.1007/978-3-031-16449-1_5,DSP-Net: Deeply-Supervised Pseudo-Siamese Network for Dynamic Angiographic Image Matching,MICCAI
10.1007/978-3-031-16437-8_18,Optimal Transport Based Ordinal Pattern Tree Kernel for Brain Disease Diagnosis,MICCAI
10.1007/978-3-031-16437-8_14,Toward Clinically Assisted Colorectal Polyp Recognition via Structured Cross-Modal Representation Consistency,MICCAI
10.1007/978-3-031-16449-1_25,Assessing the Performance of Automated Prediction and Ranking of Patient Age from Chest X-rays Against Clinicians,MICCAI
10.1007/978-3-031-16449-1_29,Deep Multimodal Guidance for Medical Image Classification,MICCAI
10.1007/978-3-031-16446-0_10,DSR: Direct Simultaneous Registration for Multiple 3D Images,MICCAI
10.1007/978-3-031-16446-0_26,Global Multi-modal 2D/3D Registration via Local Descriptors Learning,MICCAI
10.1007/978-3-031-16449-1_49,CLTS-GAN: Color-Lighting-Texture-Specular Reflection Augmentation for Colonoscopy,MICCAI
10.1007/978-3-031-16452-1_43,Accurate and Explainable Image-Based Prediction Using a Lightweight Generative Model,MICCAI
10.1007/978-3-031-16431-6_69,Out-of-Distribution Detection for Long-Tailed and Fine-Grained Skin Lesion Images,MICCAI
10.1007/978-3-031-16449-1_17,Fast Automatic Liver Tumor Radiofrequency Ablation Planning via Learned Physics Model,MICCAI
10.1007/978-3-031-16449-1_10,Multimodal-GuideNet: Gaze-Probe Bidirectional Guidance in Obstetric Ultrasound Scanning,MICCAI
10.1007/978-3-031-16446-0_9,Non-iterative Coarse-to-Fine Registration Based on Single-Pass Deep Cumulative Learning,MICCAI
10.1007/978-3-031-16446-0_24,Mesh-Based 3D Motion Tracking in Cardiac MRI Using Deep Learning,MICCAI
10.1007/978-3-031-16440-8_50,Shape-Aware Weakly/Semi-Supervised Optic Disc and Cup Segmentation with Regional/Marginal Consistency,MICCAI
10.1007/978-3-031-16452-1_32,Physiology-Based Simulation of the Retinal Vasculature Enables Annotation-Free Segmentation of OCT Angiographs,MICCAI
10.1007/978-3-031-16449-1_8,An Optimal Control Problem for Elastic Registration and Force Estimation in Augmented Surgery,MICCAI
10.1007/978-3-031-16452-1_42,The (de)biasing Effect of GAN-Based Augmentation Methods on Skin Lesion Images,MICCAI
10.1007/978-3-031-16449-1_24,Contrastive Masked Transformers for Forecasting Renal Transplant Function,MICCAI
10.1007/978-3-031-16431-6_68,Data-Driven Deep Supervision for Skin Lesion Classification,MICCAI
10.1007/978-3-031-16446-0_3,Unsupervised Deformable Image Registration with Absent Correspondences in Pre-operative and Post-recurrence Brain Tumor MRI Scans,MICCAI
10.1007/978-3-031-16440-8_35,EchoGNN: Explainable Ejection Fraction Estimation with Graph Neural Networks,MICCAI
10.1007/978-3-031-16443-9_69,BERTHop: An Effective Vision-and-Language Model for Chest X-ray Disease Diagnosis,MICCAI
10.1007/978-3-031-16449-1_51,Adaptation of Surgical Activity Recognition Models Across Operating Rooms,MICCAI
10.1007/978-3-031-16440-8_36,EchoCoTr: Estimation of the Left Ventricular Ejection Fraction from Spatiotemporal Echocardiography,MICCAI
10.1007/978-3-031-16443-9_62,Radiological Reports Improve Pre-training for Localized Imaging Tasks on Chest X-Rays,MICCAI
10.1007/978-3-031-16431-6_30,RefineNet: An Automated Framework to Generate Task and Subject-Specific Brain Parcellations for Resting-State fMRI Analysis,MICCAI
