doc_name,label1,label2,value
Attentive Symmetric Autoencoder for Brain MRI Segmentation,BRATS,In Footnote,True
The Deep Poincaré Map: A Novel Approach for Left Ventricle Segmentation,Sunnybrook,In Abstract,True
The Deep Poincaré Map: A Novel Approach for Left Ventricle Segmentation,Sunnybrook,In Method,True
The Deep Poincaré Map: A Novel Approach for Left Ventricle Segmentation,Sunnybrook,In Table,True
Assessing Reliability and Challenges of Uncertainty Estimations for Medical Image Segmentation,BRATS,In Method,True
Assessing Reliability and Challenges of Uncertainty Estimations for Medical Image Segmentation,BRATS,In Figure,True
Assessing Reliability and Challenges of Uncertainty Estimations for Medical Image Segmentation,BRATS,In Table,True
Transferable Multi-model Ensemble for Benign-Malignant Lung Nodule Classification on Chest CT,LIDC-IDRI,In Abstract,True
Transferable Multi-model Ensemble for Benign-Malignant Lung Nodule Classification on Chest CT,LIDC-IDRI,Elsewhere,True
Transferable Multi-model Ensemble for Benign-Malignant Lung Nodule Classification on Chest CT,LIDC-IDRI,In Method,True
Transferable Multi-model Ensemble for Benign-Malignant Lung Nodule Classification on Chest CT,LIDC-IDRI,In Table,True
Context-Aware Virtual Adversarial Training for Anatomically-Plausible Segmentation,ACDC,In Method,True
Context-Aware Virtual Adversarial Training for Anatomically-Plausible Segmentation,ACDC,Elsewhere,True
Context-Aware Virtual Adversarial Training for Anatomically-Plausible Segmentation,ACDC,In Figure,True
Context-Aware Virtual Adversarial Training for Anatomically-Plausible Segmentation,ACDC,In Table,True
Context-Aware Virtual Adversarial Training for Anatomically-Plausible Segmentation,PROMISE12,In Method,True
Context-Aware Virtual Adversarial Training for Anatomically-Plausible Segmentation,PROMISE12,Elsewhere,True
Context-Aware Virtual Adversarial Training for Anatomically-Plausible Segmentation,PROMISE12,In Table,True
CheXtransfer,Chexpert,In Abstract,True
CheXtransfer,Chexpert,Elsewhere,True
CheXtransfer,Chexpert,In Method,True
CheXtransfer,Chexpert,In Figure,True
CheXtransfer,Chexpert,In Table,True
CheXtransfer,Chexpert,In Footnote,True
Low-Rank to the Rescue – Atlas-Based Analyses in the Presence of Pathologies,BRATS,In Abstract,True
Low-Rank to the Rescue – Atlas-Based Analyses in the Presence of Pathologies,BRATS,Elsewhere,True
Low-Rank to the Rescue – Atlas-Based Analyses in the Presence of Pathologies,BRATS,In Method,True
Have You Forgotten? A Method to Assess if Machine Learning Models Have Forgotten Data,ACDC,In Abstract,True
Have You Forgotten? A Method to Assess if Machine Learning Models Have Forgotten Data,ACDC,Elsewhere,True
Have You Forgotten? A Method to Assess if Machine Learning Models Have Forgotten Data,ACDC,In Method,True
Have You Forgotten? A Method to Assess if Machine Learning Models Have Forgotten Data,ACDC,In Figure,True
Have You Forgotten? A Method to Assess if Machine Learning Models Have Forgotten Data,ACDC,In Table,True
SkrGAN: Sketching-Rendering Unconditional Generative Adversarial Networks for Medical Image Synthesis,DRIVE,In Method,True
Multi-task Neural Networks with Spatial Activation for Retinal Vessel Segmentation and Artery Vein Classification,DRIVE,In Abstract,True
Multi-task Neural Networks with Spatial Activation for Retinal Vessel Segmentation and Artery Vein Classification,DRIVE,Elsewhere,True
Multi-task Neural Networks with Spatial Activation for Retinal Vessel Segmentation and Artery Vein Classification,DRIVE,In Method,True
Multi-task Neural Networks with Spatial Activation for Retinal Vessel Segmentation and Artery Vein Classification,DRIVE,In Figure,True
Multi-task Neural Networks with Spatial Activation for Retinal Vessel Segmentation and Artery Vein Classification,DRIVE,In Table,True
Fair admission risk prediction with proportional multicalibration,MIMIC,Elsewhere,True
Fair admission risk prediction with proportional multicalibration,MIMIC,In Method,True
Fair admission risk prediction with proportional multicalibration,MIMIC,In Table,True
Multi-label Thoracic Disease Image Classification with Cross-Attention Networks,Chexpert,Elsewhere,True
Multi-label Thoracic Disease Image Classification with Cross-Attention Networks,Chexpert,In Method,True
Multi-label Thoracic Disease Image Classification with Cross-Attention Networks,ChestX-Ray14,Elsewhere,True
Multi-label Thoracic Disease Image Classification with Cross-Attention Networks,ChestX-Ray14,In Method,True
Multi-label Thoracic Disease Image Classification with Cross-Attention Networks,ChestX-Ray14,In Table,True
Statistical Power in Image Segmentation: Relating Sample Size to Reference Standard Quality,PROMISE12,In Abstract,True
Statistical Power in Image Segmentation: Relating Sample Size to Reference Standard Quality,PROMISE12,Elsewhere,True
Projective Skip-Connections for Segmentation Along a Subset of Dimensions in Retinal OCT,BRATS,Elsewhere,True
Why Does Synthesized Data Improve Multi-sequence Classification?,BRATS,In Abstract,True
Why Does Synthesized Data Improve Multi-sequence Classification?,BRATS,Elsewhere,True
Why Does Synthesized Data Improve Multi-sequence Classification?,BRATS,In Method,True
Deep Supervision with Additional Labels for Retinal Vessel Segmentation Task,DRIVE,In Abstract,True
Deep Supervision with Additional Labels for Retinal Vessel Segmentation Task,DRIVE,In Method,True
Deep Supervision with Additional Labels for Retinal Vessel Segmentation Task,DRIVE,In Table,True
DGMIL: Distribution Guided Multiple Instance Learning for Whole Slide Image Classification,CAMELYON,Elsewhere,True
DGMIL: Distribution Guided Multiple Instance Learning for Whole Slide Image Classification,CAMELYON,In Method,True
DGMIL: Distribution Guided Multiple Instance Learning for Whole Slide Image Classification,CAMELYON,In Table,True
DeU-Net: Deformable U-Net for 3D Cardiac MRI Video Segmentation,ACDC,In Method,True
Comparing to Learn: Surpassing ImageNet Pretraining on Radiographs by Comparing Image Representations,Chexpert,In Method,True
Comparing to Learn: Surpassing ImageNet Pretraining on Radiographs by Comparing Image Representations,Chexpert,Elsewhere,True
Comparing to Learn: Surpassing ImageNet Pretraining on Radiographs by Comparing Image Representations,Chexpert,In Table,True
Comparing to Learn: Surpassing ImageNet Pretraining on Radiographs by Comparing Image Representations,MIMIC,In Method,True
Comparing to Learn: Surpassing ImageNet Pretraining on Radiographs by Comparing Image Representations,MIMIC,Elsewhere,True
BEFD: Boundary Enhancement and Feature Denoising for Vessel Segmentation,DRIVE,Elsewhere,True
BEFD: Boundary Enhancement and Feature Denoising for Vessel Segmentation,DRIVE,In Method,True
BEFD: Boundary Enhancement and Feature Denoising for Vessel Segmentation,DRIVE,In Figure,True
An adversarial approach for the robust classification of pneumonia from chest radiographs,Chexpert,In Method,True
An adversarial approach for the robust classification of pneumonia from chest radiographs,Chexpert,Elsewhere,True
An adversarial approach for the robust classification of pneumonia from chest radiographs,Chexpert,In Table,True
An adversarial approach for the robust classification of pneumonia from chest radiographs,MIMIC,In Method,True
An adversarial approach for the robust classification of pneumonia from chest radiographs,MIMIC,Elsewhere,True
An adversarial approach for the robust classification of pneumonia from chest radiographs,MIMIC,In Table,True
Robust Multi-modal MR Image Synthesis,BRATS,In Method,True
Robust Multi-modal MR Image Synthesis,BRATS,In Table,True
Missing Values and Imputation in Healthcare Data:  Can Interpretable Machine Learning Help?,MIMIC,Elsewhere,True
Prostate Cancer Semantic Segmentation by Gleason Score Group in bi-parametric MRI with Self Attention Model on the Peripheral Zone,PROSTATEx,In Method,True
Prostate Cancer Semantic Segmentation by Gleason Score Group in bi-parametric MRI with Self Attention Model on the Peripheral Zone,PROSTATEx,Elsewhere,True
Detecting Pancreatic Ductal Adenocarcinoma in Multi-phase CT Scans via Alignment Ensemble,BRATS,In Method,True
Shape-Aware Meta-learning for Generalizing Prostate MRI Segmentation to Unseen Domains,PROMISE12,In Method,True
CXR-CLIP: Toward Large Scale Chest X-ray Language-Image Pre-training,Chexpert,In Method,True
CXR-CLIP: Toward Large Scale Chest X-ray Language-Image Pre-training,Chexpert,In Table,True
CXR-CLIP: Toward Large Scale Chest X-ray Language-Image Pre-training,MIMIC,In Method,True
CXR-CLIP: Toward Large Scale Chest X-ray Language-Image Pre-training,MIMIC,In Table,True
CXR-CLIP: Toward Large Scale Chest X-ray Language-Image Pre-training,MIMIC,Elsewhere,True
Domain Generalization for Retinal Vessel Segmentation with Vector Field Transformer,DRIVE,In Method,True
Rotation Equivariant CNNs for Digital Pathology,CAMELYON,Elsewhere,True
Rotation Equivariant CNNs for Digital Pathology,CAMELYON,In Method,True
Rotation Equivariant CNNs for Digital Pathology,CAMELYON,In Figure,True
Self-supervised Feature Learning for 3D Medical Images by Playing a Rubik’s Cube,BRATS,In Method,True
Self-supervised Feature Learning for 3D Medical Images by Playing a Rubik’s Cube,BRATS,In Table,True
Inter-site Variability in Prostate Segmentation Accuracy Using Deep Learning,PROMISE12,In Method,True
Inter-site Variability in Prostate Segmentation Accuracy Using Deep Learning,PROMISE12,Elsewhere,True
Universal Undersampled MRI Reconstruction,ACDC,In Method,True
Distribution Matching Losses Can Hallucinate Features in Medical Image Translation,BRATS,Elsewhere,True
On the Relationship Between Calibrated Predictors and Unbiased Volume Estimation,BRATS,In Abstract,True
On the Relationship Between Calibrated Predictors and Unbiased Volume Estimation,BRATS,Elsewhere,True
On the Relationship Between Calibrated Predictors and Unbiased Volume Estimation,BRATS,In Method,True
On the Relationship Between Calibrated Predictors and Unbiased Volume Estimation,BRATS,In Table,True
Using Causal Analysis for Conceptual Deep Learning Explanation,Chexpert,In Method,True
Using Causal Analysis for Conceptual Deep Learning Explanation,MIMIC,In Method,True
Tensor Networks for Medical Image Classification,LIDC-IDRI,Elsewhere,True
Tensor Networks for Medical Image Classification,LIDC-IDRI,In Method,True
Tensor Networks for Medical Image Classification,LIDC-IDRI,In Figure,True
Tensor Networks for Medical Image Classification,LIDC-IDRI,In Table,True
Tensor Networks for Medical Image Classification,CAMELYON,In Figure,True
vMFNet: Compositionality Meets Domain-Generalised Segmentation,M&Ms,In Method,True
vMFNet: Compositionality Meets Domain-Generalised Segmentation,M&Ms,Elsewhere,True
vMFNet: Compositionality Meets Domain-Generalised Segmentation,M&Ms,In Figure,True
vMFNet: Compositionality Meets Domain-Generalised Segmentation,M&Ms,In Table,True
Hierarchical Classification of Pulmonary Lesions: A Large-Scale Radio-Pathomics Study,LIDC-IDRI,Elsewhere,True
Suggestive Annotation of Brain Tumour Images with Gradient-Guided Sampling,BRATS,In Abstract,True
Suggestive Annotation of Brain Tumour Images with Gradient-Guided Sampling,BRATS,In Method,True
Unsupervised Lesion Detection via Image Restoration with a Normative Prior,BRATS,In Method,True
Unsupervised Lesion Detection via Image Restoration with a Normative Prior,BRATS,In Figure,True
Meta Corrupted Pixels Mining for Medical Image Segmentation,LIDC-IDRI,In Abstract,True
Meta Corrupted Pixels Mining for Medical Image Segmentation,LIDC-IDRI,Elsewhere,True
Meta Corrupted Pixels Mining for Medical Image Segmentation,LIDC-IDRI,In Method,True
Meta Corrupted Pixels Mining for Medical Image Segmentation,LIDC-IDRI,In Table,True
Improving the Fairness of Chest X-ray Classifiers,Chexpert,In Abstract,True
Improving the Fairness of Chest X-ray Classifiers,Chexpert,In Method,True
Improving the Fairness of Chest X-ray Classifiers,Chexpert,Elsewhere,True
Improving the Fairness of Chest X-ray Classifiers,Chexpert,In Figure,True
Improving the Fairness of Chest X-ray Classifiers,Chexpert,In Table,True
Improving the Fairness of Chest X-ray Classifiers,MIMIC,In Abstract,True
Improving the Fairness of Chest X-ray Classifiers,MIMIC,Elsewhere,True
Improving the Fairness of Chest X-ray Classifiers,MIMIC,In Method,True
Improving the Fairness of Chest X-ray Classifiers,MIMIC,In Figure,True
Improving the Fairness of Chest X-ray Classifiers,MIMIC,In Table,True
Semi-Supervised Medical Image Segmentation via Cross Teaching between CNN and Transformer,ACDC,In Method,True
Semi-Supervised Medical Image Segmentation via Cross Teaching between CNN and Transformer,ACDC,In Table,True
Semi-Supervised Medical Image Segmentation via Cross Teaching between CNN and Transformer,ACDC,Elsewhere,True
Adversarial Pulmonary Pathology Translation for Pairwise Chest X-Ray Data Augmentation,ChestX-Ray14,Elsewhere,True
Adversarial Pulmonary Pathology Translation for Pairwise Chest X-Ray Data Augmentation,ChestX-Ray14,In Method,True
Weakly Supervised Volumetric Segmentation via Self-taught Shape Denoising Model,PROMISE12,In Method,True
Weakly Supervised Volumetric Segmentation via Self-taught Shape Denoising Model,PROMISE12,In Footnote,True
Weakly Supervised Volumetric Segmentation via Self-taught Shape Denoising Model,PROMISE12,Elsewhere,True
Learning Interpretable Features via Adversarially Robust Optimization,ChestX-Ray14,In Method,True
Universal Loss Reweighting to Balance Lesion Size Inequality in 3D Medical Image Segmentation,BRATS,Elsewhere,True
Universal Loss Reweighting to Balance Lesion Size Inequality in 3D Medical Image Segmentation,LIDC-IDRI,In Abstract,True
Universal Loss Reweighting to Balance Lesion Size Inequality in 3D Medical Image Segmentation,LIDC-IDRI,In Method,True
Interactive Retinal Vessel Extraction by Integrating Vessel Tracing and Graph Search,DRIVE,Elsewhere,True
Interactive Retinal Vessel Extraction by Integrating Vessel Tracing and Graph Search,DRIVE,In Method,True
Interactive Retinal Vessel Extraction by Integrating Vessel Tracing and Graph Search,DRIVE,In Table,True
Beyond pixel-wise supervision for segmentation: A few global shape descriptors might be surprisingly good!,ACDC,In Method,True
Beyond pixel-wise supervision for segmentation: A few global shape descriptors might be surprisingly good!,ACDC,In Figure,True
Beyond pixel-wise supervision for segmentation: A few global shape descriptors might be surprisingly good!,ACDC,In Table,True
Beyond pixel-wise supervision for segmentation: A few global shape descriptors might be surprisingly good!,ACDC,Elsewhere,True
Optimal MRI Undersampling Patterns for Pathology Localization,ACDC,Elsewhere,True
Optimal MRI Undersampling Patterns for Pathology Localization,ACDC,In Method,True
Optimal MRI Undersampling Patterns for Pathology Localization,ACDC,In Figure,True
Optimal MRI Undersampling Patterns for Pathology Localization,ACDC,In Table,True
Optimal MRI Undersampling Patterns for Pathology Localization,BRATS,Elsewhere,True
Optimal MRI Undersampling Patterns for Pathology Localization,BRATS,In Method,True
Optimal MRI Undersampling Patterns for Pathology Localization,BRATS,In Figure,True
Optimal MRI Undersampling Patterns for Pathology Localization,BRATS,In Table,True
Explaining a machine learning decision to physicians via counterfactuals,MIMIC,Elsewhere,True
Explaining a machine learning decision to physicians via counterfactuals,MIMIC,In Method,True
Multi-frame Super-resolution with Quality Self-assessment for Retinal Fundus Videos,DRIVE,In Method,True
Structure-Consistent Restoration Network for Cataract Fundus Image Enhancement,DRIVE,In Method,True
Pseudo Bias-Balanced Learning for Debiased Chest X-Ray Classification,MIMIC,In Method,True
Autofocus Layer for Semantic Segmentation,BRATS,In Method,True
Autofocus Layer for Semantic Segmentation,BRATS,In Table,True
Utilizing Longitudinal Chest X-Rays and Reports to Pre-fill Radiology Reports,Chexpert,In Method,True
Utilizing Longitudinal Chest X-Rays and Reports to Pre-fill Radiology Reports,Chexpert,Elsewhere,True
Utilizing Longitudinal Chest X-Rays and Reports to Pre-fill Radiology Reports,MIMIC,In Abstract,True
Utilizing Longitudinal Chest X-Rays and Reports to Pre-fill Radiology Reports,MIMIC,Elsewhere,True
Utilizing Longitudinal Chest X-Rays and Reports to Pre-fill Radiology Reports,MIMIC,In Method,True
Utilizing Longitudinal Chest X-Rays and Reports to Pre-fill Radiology Reports,MIMIC,In Table,True
Optimizing the Dice Score and Jaccard Index for Medical Image Segmentation: Theory and Practice,BRATS,In Method,True
Probabilistic Radiomics: Ambiguous Diagnosis with Controllable Shape Analysis,LIDC-IDRI,In Abstract,True
Probabilistic Radiomics: Ambiguous Diagnosis with Controllable Shape Analysis,LIDC-IDRI,Elsewhere,True
Probabilistic Radiomics: Ambiguous Diagnosis with Controllable Shape Analysis,LIDC-IDRI,In Method,True
Robust Fusion of Probability Maps,LIDC-IDRI,In Method,True
GOAL: Gist-set Online Active Learning for Efficient Chest X-ray Image Annotation,Chexpert,Elsewhere,True
GOAL: Gist-set Online Active Learning for Efficient Chest X-ray Image Annotation,Chexpert,In Method,True
GOAL: Gist-set Online Active Learning for Efficient Chest X-ray Image Annotation,Chexpert,In Table,True
Multi-view Local Co-occurrence and Global Consistency Learning Improve Mammogram Classification Generalisation,CBIS-DDSM,In Method,True
Rediscovery of CNN’s Versatility for Text-based Encoding of Raw Electronic Health Records,MIMIC,Elsewhere,True
Rediscovery of CNN’s Versatility for Text-based Encoding of Raw Electronic Health Records,MIMIC,In Method,True
Rediscovery of CNN’s Versatility for Text-based Encoding of Raw Electronic Health Records,MIMIC,In Figure,True
Encoding CT Anatomy Knowledge for Unpaired Chest X-ray Image Decomposition,LIDC-IDRI,In Method,True
BerDiff: Conditional Bernoulli Diffusion Model for Medical Image  Segmentation,BRATS,Elsewhere,True
BerDiff: Conditional Bernoulli Diffusion Model for Medical Image  Segmentation,BRATS,In Method,True
BerDiff: Conditional Bernoulli Diffusion Model for Medical Image  Segmentation,BRATS,In Figure,True
BerDiff: Conditional Bernoulli Diffusion Model for Medical Image  Segmentation,LIDC-IDRI,Elsewhere,True
BerDiff: Conditional Bernoulli Diffusion Model for Medical Image  Segmentation,LIDC-IDRI,In Method,True
BerDiff: Conditional Bernoulli Diffusion Model for Medical Image  Segmentation,LIDC-IDRI,In Figure,True
BerDiff: Conditional Bernoulli Diffusion Model for Medical Image  Segmentation,LIDC-IDRI,In Table,True
Harnessing Uncertainty in Domain Adaptation for MRI Prostate Lesion Segmentation,PROSTATEx,In Method,True
Learning with Multitask Adversaries using Weakly Labelled Data for Semantic Segmentation in Retinal Images,DRIVE,In Abstract,True
Learning with Multitask Adversaries using Weakly Labelled Data for Semantic Segmentation in Retinal Images,DRIVE,In Method,True
Multi-modal Pre-training for Medical Vision-language Understanding and Generation: An Empirical Study with A New Benchmark,Chexpert,In Method,True
Multi-modal Pre-training for Medical Vision-language Understanding and Generation: An Empirical Study with A New Benchmark,Chexpert,In Table,True
Multi-modal Pre-training for Medical Vision-language Understanding and Generation: An Empirical Study with A New Benchmark,PadChest,In Method,True
Multi-modal Pre-training for Medical Vision-language Understanding and Generation: An Empirical Study with A New Benchmark,PadChest,In Table,True
Multi-modal Pre-training for Medical Vision-language Understanding and Generation: An Empirical Study with A New Benchmark,MIMIC,Elsewhere,True
Multi-modal Pre-training for Medical Vision-language Understanding and Generation: An Empirical Study with A New Benchmark,MIMIC,In Method,True
Multi-modal Pre-training for Medical Vision-language Understanding and Generation: An Empirical Study with A New Benchmark,MIMIC,In Table,True
Automatic Segmentation of Head and Neck Tumor: How Powerful Transformers Are?,BRATS,Elsewhere,True
PHiSeg: Capturing Uncertainty in Medical Image Segmentation,LIDC-IDRI,In Method,True
PHiSeg: Capturing Uncertainty in Medical Image Segmentation,LIDC-IDRI,In Figure,True
PHiSeg: Capturing Uncertainty in Medical Image Segmentation,LIDC-IDRI,In Table,True
PHiSeg: Capturing Uncertainty in Medical Image Segmentation,LIDC-IDRI,Elsewhere,True
Multi-atlas Segmentation without Registration: A Supervoxel-Based Approach,BRATS,In Method,True
Modality Completion via Gaussian Process Prior Variational Autoencoders for Multi-modal Glioma Segmentation,BRATS,In Abstract,True
Modality Completion via Gaussian Process Prior Variational Autoencoders for Multi-modal Glioma Segmentation,BRATS,Elsewhere,True
Modality Completion via Gaussian Process Prior Variational Autoencoders for Multi-modal Glioma Segmentation,BRATS,In Method,True
Chest X-Ray Report Generation Through Fine-Grained Label Learning,MIMIC,Elsewhere,True
Chest X-Ray Report Generation Through Fine-Grained Label Learning,MIMIC,In Method,True
Chest X-Ray Report Generation Through Fine-Grained Label Learning,MIMIC,In Table,True
ACE-Net: Biomedical Image Segmentation with Augmented Contracting and Expansive Paths,DRIVE,Elsewhere,True
ACE-Net: Biomedical Image Segmentation with Augmented Contracting and Expansive Paths,DRIVE,In Method,True
ACE-Net: Biomedical Image Segmentation with Augmented Contracting and Expansive Paths,DRIVE,In Figure,True
ACE-Net: Biomedical Image Segmentation with Augmented Contracting and Expansive Paths,DRIVE,In Table,True
Deidentification of free-text medical records using pre-trained bidirectional transformers,MIMIC,Elsewhere,True
Learning Fully-Connected CRFs for Blood Vessel Segmentation in Retinal Images,DRIVE,Elsewhere,True
Learning Fully-Connected CRFs for Blood Vessel Segmentation in Retinal Images,DRIVE,In Method,True
Learning Fully-Connected CRFs for Blood Vessel Segmentation in Retinal Images,DRIVE,In Figure,True
Learning Fully-Connected CRFs for Blood Vessel Segmentation in Retinal Images,DRIVE,In Table,True
XLSor: A Robust and Accurate Lung Segmentor on Chest X-Rays Using Criss-Cross Attention and Customized Radiorealistic Abnormalities Generation,ChestX-Ray14,In Abstract,True
Quantifying and Leveraging Classification Uncertainty for Chest Radiograph Assessment,ChestX-Ray14,Elsewhere,True
Quantifying and Leveraging Classification Uncertainty for Chest Radiograph Assessment,ChestX-Ray14,In Method,True
Diffusion Models for Medical Anomaly Detection,BRATS,In Abstract,True
Diffusion Models for Medical Anomaly Detection,BRATS,Elsewhere,True
Diffusion Models for Medical Anomaly Detection,BRATS,In Method,True
Diffusion Models for Medical Anomaly Detection,BRATS,In Figure,True
Diffusion Models for Medical Anomaly Detection,Chexpert,In Abstract,True
Diffusion Models for Medical Anomaly Detection,Chexpert,Elsewhere,True
Diffusion Models for Medical Anomaly Detection,Chexpert,In Method,True
Diffusion Models for Medical Anomaly Detection,Chexpert,In Figure,True
Variational Topic Inference for Chest X-Ray Report Generation,Chexpert,In Method,True
Variational Topic Inference for Chest X-Ray Report Generation,MIMIC,In Abstract,True
Variational Topic Inference for Chest X-Ray Report Generation,MIMIC,In Method,True
Variational Topic Inference for Chest X-Ray Report Generation,MIMIC,Elsewhere,True
Variational Topic Inference for Chest X-Ray Report Generation,MIMIC,In Table,True
Vector Quantisation for Robust Segmentation,ChestX-Ray14,In Method,True
Vector Quantisation for Robust Segmentation,ChestX-Ray14,In Figure,True
Flow-Based Deformation Guidance for Unpaired Multi-contrast MRI Image-to-Image Translation,BRATS,In Abstract,True
Flow-Based Deformation Guidance for Unpaired Multi-contrast MRI Image-to-Image Translation,BRATS,In Method,True
Flow-Based Deformation Guidance for Unpaired Multi-contrast MRI Image-to-Image Translation,BRATS,In Table,True
S4ND: Single-Shot Single-Scale Lung Nodule Detection,LIDC-IDRI,In Method,True
Continual Learning for Domain Adaptation in Chest X-ray Classification,Chexpert,In Method,True
Continual Learning for Domain Adaptation in Chest X-ray Classification,MIMIC,In Abstract,True
Continual Learning for Domain Adaptation in Chest X-ray Classification,MIMIC,Elsewhere,True
Continual Learning for Domain Adaptation in Chest X-ray Classification,MIMIC,In Method,True
Continual Learning for Domain Adaptation in Chest X-ray Classification,MIMIC,In Figure,True
Continual Learning for Domain Adaptation in Chest X-ray Classification,MIMIC,In Table,True
MedSelect: Selective Labeling for Medical Image Classification Using Meta-Learning,Chexpert,In Method,True
Joint Modeling of Image and Label Statistics for Enhancing Model Generalizability of Medical Image Segmentation,ACDC,In Method,True
Joint Modeling of Image and Label Statistics for Enhancing Model Generalizability of Medical Image Segmentation,ACDC,In Table,True
On the limits of cross-domain generalization in automated X-ray prediction,Chexpert,In Method,True
On the limits of cross-domain generalization in automated X-ray prediction,Chexpert,Elsewhere,True
On the limits of cross-domain generalization in automated X-ray prediction,PadChest,In Method,True
On the limits of cross-domain generalization in automated X-ray prediction,PadChest,Elsewhere,True
On the limits of cross-domain generalization in automated X-ray prediction,MIMIC,Elsewhere,True
On the limits of cross-domain generalization in automated X-ray prediction,MIMIC,In Method,True
Learning from Suspected Target: Bootstrapping Performance for Breast Cancer Detection in Mammography,CBIS-DDSM,In Abstract,True
Learning from Suspected Target: Bootstrapping Performance for Breast Cancer Detection in Mammography,CBIS-DDSM,Elsewhere,True
Learning from Suspected Target: Bootstrapping Performance for Breast Cancer Detection in Mammography,CBIS-DDSM,In Method,True
Learning from Suspected Target: Bootstrapping Performance for Breast Cancer Detection in Mammography,CBIS-DDSM,In Table,True
Modality Propagation: Coherent Synthesis of Subject-Specific Scans with Data-Driven Regularization,BRATS,In Method,True
Modality Propagation: Coherent Synthesis of Subject-Specific Scans with Data-Driven Regularization,BRATS,In Footnote,True
Scalable Multimodal Convolutional Networks for Brain Tumour Segmentation,BRATS,Elsewhere,True
Scalable Multimodal Convolutional Networks for Brain Tumour Segmentation,BRATS,In Method,True
Scalable Multimodal Convolutional Networks for Brain Tumour Segmentation,BRATS,In Table,True
Sharpening Local Interpretable Model-Agnostic Explanations for Histopathology: Improved Understandability and Reliability,CAMELYON,In Method,True
Sharpening Local Interpretable Model-Agnostic Explanations for Histopathology: Improved Understandability and Reliability,CAMELYON,In Figure,True
Sharpening Local Interpretable Model-Agnostic Explanations for Histopathology: Improved Understandability and Reliability,CAMELYON,In Footnote,True
Federated Contrastive Learning for Decentralized Unlabeled Medical Images,Chexpert,Elsewhere,True
Federated Contrastive Learning for Decentralized Unlabeled Medical Images,Chexpert,In Figure,True
Federated Contrastive Learning for Decentralized Unlabeled Medical Images,Chexpert,In Table,True
Federated Contrastive Learning for Decentralized Unlabeled Medical Images,VinDr-CXR,Elsewhere,True
Federated Contrastive Learning for Decentralized Unlabeled Medical Images,VinDr-CXR,In Figure,True
Federated Contrastive Learning for Decentralized Unlabeled Medical Images,VinDr-CXR,In Table,True
Federated Contrastive Learning for Volumetric Medical Image Segmentation,ACDC,In Method,True
Deep Recurrent Level Set for Segmenting Brain Tumors,BRATS,In Abstract,True
Deep Recurrent Level Set for Segmenting Brain Tumors,BRATS,Elsewhere,True
Deep Recurrent Level Set for Segmenting Brain Tumors,BRATS,In Figure,True
Deep Recurrent Level Set for Segmenting Brain Tumors,BRATS,In Table,True
Diffusion Models for Implicit Image Segmentation Ensembles,BRATS,In Abstract,True
Diffusion Models for Implicit Image Segmentation Ensembles,BRATS,Elsewhere,True
Diffusion Models for Implicit Image Segmentation Ensembles,BRATS,In Method,True
MSU-Net: Multiscale Statistical U-Net for Real-Time 3D Cardiac MRI Video Segmentation,ACDC,In Method,True
MSU-Net: Multiscale Statistical U-Net for Real-Time 3D Cardiac MRI Video Segmentation,ACDC,Elsewhere,True
Learning Interpretable Anatomical Features Through Deep Generative Models: Application to Cardiac Remodeling,ACDC,In Abstract,True
Learning Interpretable Anatomical Features Through Deep Generative Models: Application to Cardiac Remodeling,ACDC,Elsewhere,True
Learning Interpretable Anatomical Features Through Deep Generative Models: Application to Cardiac Remodeling,ACDC,In Method,True
Red-GAN: Attacking class imbalance via conditioned generation. Yet another medical imaging perspective,BRATS,In Abstract,True
Red-GAN: Attacking class imbalance via conditioned generation. Yet another medical imaging perspective,BRATS,Elsewhere,True
Red-GAN: Attacking class imbalance via conditioned generation. Yet another medical imaging perspective,BRATS,In Method,True
Red-GAN: Attacking class imbalance via conditioned generation. Yet another medical imaging perspective,BRATS,In Figure,True
A comprehensive EHR timeseries pre-training benchmark,MIMIC,In Abstract,True
A comprehensive EHR timeseries pre-training benchmark,MIMIC,Elsewhere,True
A comprehensive EHR timeseries pre-training benchmark,MIMIC,In Method,True
A comprehensive EHR timeseries pre-training benchmark,MIMIC,In Figure,True
A comprehensive EHR timeseries pre-training benchmark,MIMIC,In Table,True
Hidden in Plain Sight: Subgroup Shifts Escape OOD Detection,CAMELYON,In Method,True
Hidden in Plain Sight: Subgroup Shifts Escape OOD Detection,CAMELYON,In Figure,True
Anatomy-Guided Weakly-Supervised Abnormality Localization in Chest X-rays,Chexpert,In Method,True
Anatomy-Guided Weakly-Supervised Abnormality Localization in Chest X-rays,ChestX-Ray14,In Abstract,True
Anatomy-Guided Weakly-Supervised Abnormality Localization in Chest X-rays,ChestX-Ray14,Elsewhere,True
Anatomy-Guided Weakly-Supervised Abnormality Localization in Chest X-rays,ChestX-Ray14,In Method,True
Anatomy-Guided Weakly-Supervised Abnormality Localization in Chest X-rays,ChestX-Ray14,In Table,True
Anatomy-Guided Weakly-Supervised Abnormality Localization in Chest X-rays,MIMIC,In Abstract,True
Anatomy-Guided Weakly-Supervised Abnormality Localization in Chest X-rays,MIMIC,Elsewhere,True
Anatomy-Guided Weakly-Supervised Abnormality Localization in Chest X-rays,MIMIC,In Method,True
Anatomy-Guided Weakly-Supervised Abnormality Localization in Chest X-rays,MIMIC,In Table,True
